Ticker,datadate,gsector,,,,,
PATK,2024-06-30,25,,,,,
AFG,2024-06-30,40,,,,,
PPL,2024-06-30,55,,,,,
PNR,2024-06-30,20,,,,,
PGL3,2024-06-30,55,,,,,
PEP,2024-06-30,30,,,,,
TPC,2024-06-30,20,,,,,
PBT,2024-06-30,10,,,,,
PFE,2024-06-30,35,,,,,
EXC,2024-06-30,55,,,,,
WTRG,2024-06-30,55,,,,,
MO,2024-06-30,30,,,,,
PHI,2024-06-30,50,,,,,
PHG,2024-06-30,35,,,,,
COP,2024-06-30,10,,,,,
DUK1,2024-06-30,55,,,,,
SENEA,2024-06-30,30,,,,,
AGYS,2024-06-30,45,,,,,
PIPR,2024-06-30,40,,,,,
PBI,2024-06-30,20,,,,,
PW,2024-06-30,60,,,,,
2638B,2024-06-30,25,,,,,
KGC,2024-06-30,15,,,,,
IPDN,2024-06-30,20,,,,,
PCH,2024-06-30,60,,,,,
POWL,2024-06-30,20,,,,,
PG,2024-06-30,30,,,,,
NU4,2024-06-30,55,,,,,
TXNM,2024-06-30,55,,,,,
SCG2,2024-06-30,55,,,,,
AEP12,2024-06-30,55,,,,,
PEG,2024-06-30,55,,,,,
PHM,2024-06-30,25,,,,,
KWR,2024-06-30,15,,,,,
ASYS,2024-06-30,45,,,,,
QMCO,2024-06-30,45,,,,,
RCMT,2024-06-30,20,,,,,
RJF,2024-06-30,40,,,,,
RES,2024-06-30,10,,,,,
USLM,2024-06-30,15,,,,,
RRX,2024-06-30,20,,,,,
RGS,2024-06-30,25,,,,,
HBC2,2024-06-30,40,,,,,
AN,2024-06-30,25,,,,,
RICOY,2024-06-30,45,,,,,
RGCO,2024-06-30,55,,,,,
ROK,2024-06-30,20,,,,,
ROG,2024-06-30,45,,,,,
